"Production_Budget_USD","Worldwide_Gross_USD"
1e+08,121100000
5e+07,10561038
5e+06,14843425
5.5e+07,174463257
2.5e+07,64594061
8.5e+07,315268353
4e+07,87949859
8e+07,142783718
7e+07,131445884
3500000,257938649
6e+07,26673242
1.6e+07,1686429
1.5e+07,63706632
5e+07,48169156
2.5e+07,41076865
450000,450349
2.6e+07,5000
9.5e+07,263900000
8.5e+07,35681080
3.5e+07,126204977
3.5e+07,83226569
5e+07,62967368
1.8e+07,16011975
7500000,43492389
6e+07,33956608
5.5e+07,11532774
1.5e+07,43111725
5e+06,7951247
5.7e+07,153007424
1.7e+07,125250091
3.6e+07,12532777
3.8e+07,6504442
1.2e+07,220175
4.5e+07,136998907
1.5e+07,31070412
12000,413802
9e+07,165900000
2.8e+07,8165213
6e+07,159356941
5.3e+07,139801290
2e+07,13801755
4e+07,45916769
3.5e+07,25078937
3e+07,51327406
8e+07,177993801
6e+07,160700000
5e+07,80369970
4e+07,58250151
2.4e+07,101363301
2e+07,10686841
5e+06,21277770
2e+08,NA
1.1e+08,339504276
3.8e+07,61894591
5e+07,314111923
8e+07,20841123
2.8e+07,5686694
1.5e+07,64252038
1.2e+07,74727492
12500000,1612957
2.5e+07,22411948
4e+06,302204
2300000,574838
1.4e+08,554600000
7e+07,19870567
8e+06,17394881
2650000,16556
2.5e+07,56042592
4.5e+07,11203026
5e+06,2080693
8e+07,71485043
6e+07,152457863
1.7e+07,30331165
7.3e+07,50168294
2.9e+07,54045832
5e+05,367582
68000,33598
2.7e+07,27257061
1e+07,45779
8e+07,136047317
6e+07,32983332
1.5e+07,11156471
1e+07,13835130
3.5e+07,56968169
7e+06,306715
6.5e+07,39017984
2e+07,55576699
11900000,48856
6e+06,31716953
2.7e+07,10341093
2.4e+07,4356126
2e+07,26146072
5e+06,143273
4500000,713413
3.5e+07,10319915
2e+07,37226218
6e+06,21787233
2e+06,72544
1.5e+07,29145924
1.3e+07,27066941
6e+06,58809149
1e+06,2315026
6e+07,264118201
1.7e+07,55041738
6e+07,186883563
4e+07,38172500
3e+07,29203383
2e+06,539961
1.25e+08,3.76e+08
18500000,13711903
3500000,10317779
3e+07,81529000
3e+07,19035741
2e+07,15055091
1.5e+07,46189568
4030000,2542264
7e+07,116625798
2.5e+07,82150642
2.3e+07,190191646
9e+06,4313644
3500000,6451628
9e+07,303500000
6.6e+07,189176423
650000,2301777
71500000,294156605
4.8e+07,77562568
2e+06,7756617
1500000,2380606
7.3e+07,103891409
1e+06,21210
3e+05,10876
2.2e+07,360099999
6.5e+07,233700000
5.5e+07,1147784
6.5e+07,485035085
1.5e+07,19014238
1e+07,30143795
5e+07,49105766
2.6e+07,65705772
5e+06,23047939
8e+07,349464664
1.3e+07,8064972
6e+07,48585416
2e+07,37672944
1e+07,244465
5e+06,5502773
4.5e+07,131237688
1.4e+07,15064948
1e+06,3465703
1.3e+07,16757163
250000,203134
1.9e+07,8123860
6e+07,12069719
1300000,1647780
1e+06,1087521
1e+05,6121582
3.5e+07,245300000
3e+07,26708196
2e+06,134624
5.5e+07,70692101
1.4e+07,72571864
8e+06,2256606
1e+06,22434
5.5e+07,198750909
1.4e+08,285400000
4e+07,71743823
68000,4678513
6e+07,68336997
5.3e+07,22852487
2.5e+07,50692188
3e+06,5746453
7.5e+07,14623082
1e+06,627287
2e+07,20268825
1.2e+07,12905901
1e+07,6719864
2.5e+07,780326
2e+07,18310591
1.2e+07,22921898
3e+05,373615
250000,8969065
7e+07,117800000
5e+07,34645374
2.6e+07,279500000
1.7e+07,16316273
1e+07,19080435
8.5e+07,44650003
2.4e+07,40020622
8.5e+07,250649836
4.5e+07,363095319
2.8e+07,140894685
1.2e+07,6200000
3e+06,55193251
2900000,17006158
8e+07,69131860
1.5e+07,10513979
1e+07,21094974
8e+07,164800000
1.3e+07,10020081
1e+07,25358996
8e+06,146083
6.5e+07,250800000
6e+07,218613188
5.2e+07,97709034
8e+07,50632037
6e+07,56709981
5e+07,202173000
5e+07,159745279
1.5e+07,40283321
1e+07,5045359
3.4e+07,11263966
7e+06,7824358
4.8e+07,107752036
2.8e+07,8891623
1.7e+07,11634458
8e+06,22591451
1700000,2891228
7.5e+07,30626690
4e+07,22365133
3e+07,12017369
1.6e+07,54294169
1600000,2627795
3e+07,4967493
180000,1628579
1e+07,63465522
4e+07,28544120
6000,240495
2.2e+07,19288130
6e+05,85343
1e+07,12179708
3e+06,3076820
4e+07,96398826
6e+06,6852450
66000,602920
2.3e+07,10660147
1.2e+07,2062406
1e+06,5494
6e+07,35319689
1.4e+07,4741987
5e+06,19421271
4e+06,64359
6.5e+07,463517383
1.3e+07,60414025
5.5e+07,34105207
8300000,2598224
5e+06,99147
5e+07,31333917
1.3e+07,6276869
3e+06,101773
7.5e+07,73521587
3.3e+07,8408835
20700000,2840417
1.4e+07,6552255
8500000,17202854
6.6e+07,211700000
1.5e+07,4023741
2e+06,1152411
5e+07,161626121
6e+06,4398989
3e+07,176885658
1.1e+07,75803716
1350000,28356188
6.8e+07,60265197
4.8e+07,151463090
2.1e+07,36882378
1.4e+07,14395874
1.15e+08,NA
1.5e+07,8322608
375000,617172
4.2e+07,363728226
1.6e+07,11810854
4e+06,399793
6.8e+07,33462011
4.8e+07,124304264
4e+07,672806292
1e+07,836641
1.45e+08,448191819
6e+07,149705852
10700000,31341183
1750000,22879194
3e+07,228641283
1.75e+08,221229335
2.1e+07,52037603
8e+07,416385488
2.4e+07,16304786
6e+05,248300000
6.5e+07,104267443
